'id_match','date_match','home','away','stage'
212,05/03/2016,2,12,29
213,05/03/2016,7,9,29
214,06/03/2016,4,8,29
215,06/03/2016,3,10,29
216,05/03/2016,19,5,29
217,05/03/2016,0,18,29
218,04/03/2016,16,11,29
219,06/03/2016,13,6,29
220,22/08/2015,0,10,3
221,22/08/2015,17,15,3
222,23/08/2015,2,1,3
223,23/08/2015,18,14,3
224,22/08/2015,3,13,3
225,23/08/2015,4,9,3
226,21/08/2015,5,19,3
227,22/08/2015,6,12,3
228,22/08/2015,7,16,3
229,22/08/2015,8,11,3
230,11/03/2016,11,12,30
231,12/03/2016,10,14,30
232,13/03/2016,9,19,30
233,12/03/2016,18,4,30
234,13/03/2016,6,15,30
235,12/03/2016,17,16,30
236,12/03/2016,5,7,30
237,12/03/2016,0,2,30
238,13/03/2016,13,3,30
239,12/03/2016,8,1,30
240,19/03/2016,15,18,31
241,19/03/2016,14,5,31
242,20/03/2016,1,0,31
243,19/03/2016,2,8,31
244,20/03/2016,7,17,31
245,18/03/2016,4,13,31
246,19/03/2016,3,6,31
247,20/03/2016,19,11,31
248,19/03/2016,16,9,31
249,19/03/2016,12,10,31
250,01/04/2016,11,1,32
251,02/04/2016,10,5,32
252,02/04/2016,9,15,32
253,03/04/2016,18,3,32
254,03/04/2016,6,2,32
255,02/04/2016,17,14,32
256,02/04/2016,19,7,32
257,03/04/2016,0,4,32
258,02/04/2016,13,12,32
259,02/04/2016,8,16,32
260,09/04/2016,15,17,33
261,09/04/2016,14,9,33
262,09/04/2016,10,19,33
263,10/04/2016,2,11,33
264,08/04/2016,5,3,33
265,10/04/2016,7,13,33
266,10/04/2016,4,1,33
267,09/04/2016,16,18,33
268,09/04/2016,12,6,33
269,09/04/2016,8,0,33
270,17/04/2016,11,4,34
271,16/04/2016,9,12,34
272,16/04/2016,1,15,34
273,16/04/2016,18,8,34
274,17/04/2016,6,5,34
275,16/04/2016,17,2,34
276,15/04/2016,3,7,34
277,16/04/2016,19,16,34
278,16/04/2016,0,14,34
279,17/04/2016,13,10,34
280,24/04/2016,14,18,35
281,24/04/2016,10,16,35
282,11/05/2016,1,19,35
283,24/04/2016,17,0,35
284,27/04/2016,2,15,35
285,24/04/2016,5,9,35
286,22/04/2016,7,12,35
287,24/04/2016,4,6,35
288,24/04/2016,13,11,35
289,23/04/2016,8,3,35
290,01/05/2016,15,4,36
291,30/04/2016,11,10,36
292,30/04/2016,14,8,36
293,30/04/2016,9,1,36
294,30/04/2016,18,2,36
295,30/04/2016,6,7,36
296,30/04/2016,3,17,36
297,29/04/2016,19,13,36
298,30/04/2016,16,0,36
299,30/04/2016,12,5,36
300,07/05/2016,1,18,37
301,07/05/2016,6,16,37
302,07/05/2016,17,19,37
303,07/05/2016,2,10,37
