'id_event','match_event','time','player','team','type_e'
216,89,76,150,18,'goal'
217,90,40,143,1,'goal'
218,90,83,100,15,'goal'
219,91,28,156,2,'goal'
220,91,55,156,2,'goal'
221,91,84,14,2,'goal'
222,92,19,194,17,'penalty'
223,92,38,69,4,'goal'
224,93,82,174,11,'penalty'
225,94,32,198,10,'goal'
226,94,54,205,5,'goal'
227,94,62,134,5,'goal'
228,95,53,48,8,'goal'
229,95,86,261,6,'goal'
230,96,11,54,19,'goal'
231,96,17,16,19,'goal'
232,96,24,20,3,'goal'
233,96,61,136,19,'goal'
234,96,77,54,19,'penalty'
235,96,91,12,19,'goal'
236,97,6,37,7,'goal'
237,97,78,279,12,'penalty'
238,98,62,280,13,'goal'
239,98,79,217,16,'goal'
240,99,23,282,0,'goal'
241,99,59,283,9,'goal'
242,100,21,1,0,'goal'
243,100,79,255,0,'goal'
244,101,56,264,4,'goal'
245,101,57,4,1,'goal'
246,102,16,159,19,'goal'
247,102,36,54,19,'goal'
248,102,50,159,19,'goal'
249,102,85,22,16,'miss'
250,103,32,49,17,'goal'
251,103,67,49,17,'goal'
252,103,72,289,3,'goal'
253,104,63,208,13,'goal'
254,104,78,0,13,'goal'
255,106,31,40,7,'goal'
256,107,61,293,14,'goal'
257,108,12,46,8,'goal'
258,108,87,17,2,'goal'
259,109,5,76,11,'miss'
260,111,69,142,16,'goal'
261,112,79,166,3,'goal'
262,113,4,1,0,'goal'
263,113,91,70,18,'penalty'
264,115,11,202,19,'goal'
265,115,21,288,19,'goal'
266,116,14,7,12,'goal'
267,117,86,93,13,'goal'
268,118,58,185,14,'goal'
269,118,92,60,1,'goal'
270,119,3,167,9,'goal'
271,119,6,90,7,'penalty'
272,119,16,41,7,'goal'
273,119,42,240,7,'goal'
274,119,77,168,9,'goal'
275,119,93,266,9,'goal'
276,120,42,197,15,'goal'
277,120,75,299,15,'goal'
278,121,9,193,17,'goal'
279,121,31,250,17,'goal'
280,121,51,174,11,'penalty'
281,121,74,42,11,'goal'
282,122,14,233,14,'penalty'
283,122,30,278,6,'goal'
284,122,77,312,6,'goal'
285,123,10,212,2,'goal'
286,123,45,246,7,'goal'
287,124,16,316,1,'goal'
288,126,18,180,3,'goal'
289,126,67,168,9,'goal'
290,126,72,223,3,'goal'
291,126,81,20,3,'goal'
292,126,93,166,3,'goal'
293,127,29,15,19,'goal'
294,127,39,317,19,'goal'
295,128,12,138,12,'goal'
296,128,51,46,8,'goal'
297,128,66,46,8,'goal'
298,128,90,46,8,'goal'
299,129,4,319,18,'own'
300,129,22,149,18,'goal'
301,129,35,208,13,'goal'
302,129,41,228,13,'goal'
303,130,76,438,14,'goal'
304,131,3,148,10,'goal'
305,131,24,147,10,'goal'
306,131,64,320,6,'own'
307,131,92,81,6,'goal'
308,132,7,168,9,'goal'
309,132,16,167,9,'goal'
310,132,21,319,13,'penalty'
311,132,29,208,13,'goal'
312,132,38,319,13,'penalty'
313,132,82,93,13,'goal'
314,133,51,316,1,'goal'
315,134,53,296,11,'goal'
316,134,57,311,11,'goal'
317,135,2,193,17,'goal'
318,135,22,5,12,'goal'
319,135,31,5,12,'goal'
320,135,72,112,17,'goal'
321,136,24,197,15,'goal'
322,136,80,90,7,'penalty'
323,136,84,90,7,'penalty'
324,137,48,1,0,'goal'
325,138,12,69,4,'goal'
326,138,60,154,4,'goal'
327,138,67,248,16,'goal'
328,138,83,263,4,'goal'
329,139,73,54,19,'goal'
330,140,28,38,11,'goal'
331,140,36,225,11,'goal'
332,140,40,46,8,'miss'
333,140,70,247,11,'goal'
334,140,93,171,11,'goal'
335,141,94,330,10,'penalty'
336,142,1,312,6,'goal'
337,142,31,226,6,'goal'
338,142,84,316,1,'goal'
339,142,91,189,1,'own'
340,143,25,17,2,'penalty'
341,143,77,283,9,'goal'
342,143,80,283,9,'goal'
343,143,86,265,9,'goal'
344,144,23,28,5,'goal'
345,144,40,248,16,'goal'
346,144,52,22,16,'goal'
347,145,23,324,18,'goal'
348,145,35,90,7,'goal'
349,145,44,114,7,'goal'
350,146,64,119,4,'goal'
351,146,79,222,3,'goal'
352,147,32,54,19,'goal'
353,147,40,12,19,'goal'
354,147,54,334,19,'goal'
355,147,59,197,15,'goal'
356,147,63,159,19,'goal'
357,147,66,159,19,'goal'
358,148,60,307,14,'goal'
359,148,89,229,12,'goal'
360,149,91,111,13,'own'
361,150,19,26,15,'goal'
362,150,44,26,15,'goal'
363,150,55,338,15,'goal'
364,151,62,54,19,'goal'
365,151,92,54,19,'goal'
366,152,41,313,6,'goal'
367,153,29,316,1,'goal'
368,153,51,316,1,'goal'
369,153,67,143,1,'goal'
370,153,92,341,1,'goal'
371,154,16,342,18,'goal'
372,154,52,342,18,'goal'
373,155,14,204,5,'goal'
374,155,41,291,5,'penalty'
375,155,52,30,5,'goal'
376,155,57,30,5,'goal'
377,156,57,117,2,'goal'
378,156,96,346,4,'goal'
379,157,69,3,0,'goal'
380,158,12,248,16,'goal'
381,158,41,22,16,'penalty'
382,159,12,36,10,'goal'
383,159,64,46,8,'penalty'
384,159,72,64,10,'goal'
385,159,89,46,8,'miss'
386,160,35,285,11,'own'
387,160,73,38,11,'goal'
388,161,6,349,10,'goal'
389,161,46,36,10,'goal'
390,161,56,330,10,'goal'
391,161,90,350,10,'goal'
392,162,14,261,6,'goal'
393,162,24,226,6,'goal'
394,162,26,352,17,'goal'
395,162,58,298,6,'goal'
396,163,59,66,2,'goal'
397,164,68,154,4,'goal'
398,165,82,90,7,'goal'
399,166,41,180,3,'goal'
400,166,87,180,3,'goal'
401,166,93,355,3,'goal'
402,167,6,136,19,'goal'
403,167,19,124,18,'goal'
404,167,55,54,19,'goal'
405,167,69,39,19,'goal'
406,168,15,357,15,'goal'
407,168,43,7,12,'goal'
408,168,50,9,12,'goal'
409,169,73,235,14,'goal'
410,170,13,358,3,'goal'
411,170,47,223,3,'goal'
412,170,81,222,3,'goal'
413,171,81,329,11,'goal'
414,172,4,181,14,'goal'
415,172,7,359,14,'goal'
416,172,10,10,1,'goal'
417,172,45,438,14,'miss'
418,172,70,438,14,'goal'
419,172,75,233,14,'goal'
420,173,48,361,5,'goal'
421,173,49,283,18,'goal'
422,175,42,362,2,'goal'
423,175,89,208,13,'penalty'
424,176,3,54,19,'goal'
425,176,26,119,4,'goal'
426,176,71,159,19,'goal'
427,177,10,1,0,'goal'
428,177,83,1,0,'penalty'
429,178,20,366,12,'goal'
430,178,63,160,12,'goal'
431,180,1,194,17,'goal'
432,180,8,367,9,'goal'
433,180,36,295,9,'goal'
434,180,43,295,9,'goal'
435,180,57,111,17,'goal'
437,181,57,235,14,'goal'
438,181,84,370,11,'goal'
439,182,20,59,1,'goal'
440,182,37,143,1,'goal'
441,182,42,330,10,'goal'
442,182,58,244,10,'goal'
443,182,68,220,1,'goal'
444,182,89,316,1,'goal'
445,183,10,298,6,'goal'
446,183,39,261,6,'goal'
447,183,79,70,18,'penalty'
448,184,24,204,5,'goal'
449,184,88,205,5,'goal'
450,185,36,371,4,'goal'
451,185,58,37,7,'goal'
452,186,8,79,3,'goal'
453,186,16,180,3,'goal'
454,186,46,128,3,'goal'
455,186,58,22,16,'goal'
456,186,83,222,3,'goal'
457,188,48,1,0,'goal'
459,189,92,357,13,'own'
460,190,2,361,5,'goal'
461,190,7,204,5,'goal'
462,190,34,205,5,'goal'
463,190,64,357,15,'goal'
464,190,92,375,15,'goal'
465,191,25,247,11,'goal'
466,191,38,247,11,'goal'
467,191,80,376,9,'goal'
468,191,93,377,11,'goal'
469,193,3,147,10,'goal'
470,193,37,147,10,'goal'
471,193,39,149,18,'goal'
472,193,48,178,18,'goal'
473,193,49,149,18,'goal'
474,193,59,64,10,'goal'
475,193,93,124,18,'goal'
476,194,28,17,2,'goal'
477,195,86,96,14,'goal'
478,195,94,69,4,'goal'
479,196,12,334,19,'goal'
480,196,34,160,12,'goal'
481,196,44,54,19,'goal'
482,196,46,136,19,'goal'
483,196,68,54,19,'goal'
484,198,54,381,16,'goal'
485,199,59,352,17,'goal'
486,199,91,45,8,'goal'
487,200,78,22,16,'goal'
488,200,82,248,16,'goal'
489,200,92,161,14,'goal'
490,201,31,197,15,'goal'
491,201,39,198,10,'goal'
492,201,66,330,10,'penalty'
493,201,79,299,15,'penalty'
494,202,3,149,18,'goal'
495,204,80,119,4,'goal'
496,204,84,383,17,'own'
497,205,52,361,5,'goal'
498,205,60,30,5,'goal'
499,205,86,384,5,'goal'
500,206,61,141,0,'goal'
501,206,64,1,0,'goal'
502,207,13,128,3,'goal'
503,207,47,126,3,'goal'
504,207,51,12,19,'goal'
505,208,23,229,12,'goal'
506,208,34,366,12,'goal'
507,208,67,9,12,'goal'
508,208,69,59,1,'goal'
509,208,89,374,12,'goal'
510,209,78,46,8,'goal'
511,209,91,208,13,'goal'
512,209,92,93,13,'goal'
513,211,38,316,1,'penalty'
514,211,89,49,17,'goal'
515,212,63,387,2,'goal'
516,212,93,362,2,'goal'
517,213,13,37,7,'goal'
518,213,26,325,9,'own'
519,213,73,91,7,'goal'
